Entity,Code,Year,World,CO2
Our World In Data,,1950,2536431000,312.83
Our World In Data,,1952,2630862000,312.18
Our World In Data,,1954,2724847000,312.73
Our World In Data,,1955,2773020000,314.71
Our World In Data,,1956,2822443000,315.34
Our World In Data,,1957,2873306000,315.34
Our World In Data,,1958,2925687000,315.34
Our World In Data,,1959,2979576000,315.97
Our World In Data,,1960,3034950000,316.91
Our World In Data,,1961,3091844000,317.64
Our World In Data,,1962,3150421000,318.45
Our World In Data,,1963,3211001000,318.99
Our World In Data,,1964,3273978000,319.62
Our World In Data,,1965,3339584000,320.04
Our World In Data,,1966,3407923000,321.38
Our World In Data,,1967,3478770000,322.16
Our World In Data,,1968,3551599000,323.04
Our World In Data,,1969,3625681000,324.62
Our World In Data,,1970,3700437000,325.68
Our World In Data,,1971,3775760000,326.32
Our World In Data,,1972,3851650000,327.45
Our World In Data,,1973,3927780000,329.68
Our World In Data,,1974,4003794000,330.18
Our World In Data,,1975,4079481000,331.11
Our World In Data,,1976,4154667000,332.04
Our World In Data,,1977,4229506000,333.83
Our World In Data,,1978,4304534000,335.4
Our World In Data,,1979,4380506000,336.84
Our World In Data,,1980,4458004000,338.75
Our World In Data,,1981,4536997000,340.11
Our World In Data,,1982,4617387000,341.45
Our World In Data,,1983,4699569000,343.05
Our World In Data,,1984,4784012000,344.65
Our World In Data,,1985,4870922000,346.12
Our World In Data,,1986,4960568000,347.42
Our World In Data,,1987,5052522000,349.19
Our World In Data,,1988,5145426000,351.57
Our World In Data,,1989,5237442000,353.12
Our World In Data,,1990,5327231000,354.39
Our World In Data,,1991,5414289000,355.61
Our World In Data,,1992,5498920000,356.45
Our World In Data,,1993,5581598000,357.1
Our World In Data,,1994,5663150000,358.83
Our World In Data,,1995,5744213000,360.82
Our World In Data,,1996,5824892000,362.61
Our World In Data,,1997,5905046000,363.73
Our World In Data,,1998,5984794000,366.7
Our World In Data,,1999,6064239000,368.38
Our World In Data,,2000,6143494000,369.55
Our World In Data,,2001,6222627000,371.14
Our World In Data,,2002,6301773000,373.28
Our World In Data,,2003,6381185000,375.8
Our World In Data,,2004,6461159000,377.52
Our World In Data,,2005,6541907000,379.8
Our World In Data,,2006,6623518000,381.9
Our World In Data,,2007,6705947000,383.79
Our World In Data,,2008,6789089000,385.6
Our World In Data,,2009,6872767000,387.43
Our World In Data,,2010,6956824000,389.9
Our World In Data,,2011,7041194000,391.65
Our World In Data,,2012,7125828000,393.85
Our World In Data,,2013,7210582000,396.52
Our World In Data,,2014,7295291000,398.65
Our World In Data,,2015,7379797000,400.83
Our World In Data,,2016,7464022000,404.24
Our World In Data,,2017,7547859000,406.55
Our World In Data,,2018,7631091000,408.52
