Entity,Code,Year,World,Forest
Our World In Data,,1990,5327231000,25.11
Our World In Data,,1991,5414289000,31.63
Our World In Data,,1992,5498920000,31.75
Our World In Data,,1993,5581598000,31.57
Our World In Data,,1994,5663150000,31.52
Our World In Data,,1995,5744213000,31.46
Our World In Data,,1996,5824892000,31.41
Our World In Data,,1997,5905046000,31.33
Our World In Data,,1998,5984794000,31.28
Our World In Data,,1999,6064239000,31.23
Our World In Data,,2000,6143494000,31.17
Our World In Data,,2001,6222627000,31.14
Our World In Data,,2002,6301773000,31.1
Our World In Data,,2003,6381185000,31.07
Our World In Data,,2004,6461159000,31.03
Our World In Data,,2005,6541907000,31.02
Our World In Data,,2006,6623518000,30.97
Our World In Data,,2007,6705947000,30.95
Our World In Data,,2008,6789089000,30.93
Our World In Data,,2009,6872767000,30.9
Our World In Data,,2010,6956824000,31.08
Our World In Data,,2011,7041194000,30.85
Our World In Data,,2012,7125828000,30.82
Our World In Data,,2013,7210582000,30.8
Our World In Data,,2014,7295291000,30.77
Our World In Data,,2015,7379797000,30.75
Our World In Data,,2016,7464022000,30.73
Our World In Data,,2017,7547859000,30.73
